TIME,price,volume,CNT,volbar,ema_price,VWAP
2014-01-01 09:01:29.719,100,1985,0,3551,100,100
2014-01-01 09:06:29.719,100.0921,616,3,7640,100.0875,100.0899
2014-01-01 09:11:29.719,100.0876,957,4,1950,100.0876,100.088
2014-01-01 09:16:29.719,100.162,1196,4,1196,100.1583,100.1554
2014-01-01 09:21:29.719,100.173,2268,1,8502,100.1723,100.1729
2014-01-01 09:26:29.719,99.92279,577,5,3577,99.93526,99.94954
2014-01-01 09:31:29.719,99.82619,1342,5,7368,99.83164,99.82945
2014-01-01 09:36:29.719,99.95218,413,6,2035,99.94615,99.93294
2014-01-01 09:41:29.719,99.99654,3407,2,4630,99.99402,99.99492
2014-01-01 09:46:29.719,99.90097,462,3,955,99.90562,99.91968
2014-01-01 09:51:29.719,99.98972,1559,2,13204,99.98551,99.9894
2014-01-01 09:56:29.719,99.9355,2065,6,8466,99.938,99.93941
2014-01-01 10:01:29.719,99.87191,1587,4,0,99.87521,99.93941
2014-01-01 10:06:29.719,99.87191,1587,0,3574,99.87207,99.87234
2014-01-01 10:11:29.719,99.67467,171,3,2497,99.68454,99.68795
2014-01-01 10:16:29.719,99.69153,268,3,268,99.69118,99.69034
2014-01-01 10:21:29.719,99.70816,173,1,1425,99.70731,99.70791
2014-01-01 10:26:29.719,99.76494,2356,2,3482,99.76206,99.76378
2014-01-01 10:31:29.719,99.78284,946,2,1215,99.7818,99.7804
2014-01-01 10:36:29.719,99.71708,396,3,4343,99.72032,99.71808
2014-01-01 10:41:29.719,99.57054,422,4,1902,99.57803,99.58587
2014-01-01 10:46:29.719,99.7603,322,2,6081,99.75119,99.75731
2014-01-01 10:51:29.719,99.88366,1517,4,16328,99.87704,99.88131
2014-01-01 10:56:29.719,99.79295,576,7,4972,99.79715,99.80561
2014-01-01 11:01:29.719,99.70273,948,5,3927,99.70745,99.70981
2014-01-01 11:06:29.719,99.73497,4198,3,6613,99.7336,99.73419
2014-01-01 11:11:29.719,99.78707,382,2,382,99.7844,99.76212
2014-01-01 11:16:29.719,99.79071,691,1,5255,99.7904,99.79052
2014-01-01 11:21:29.719,99.72527,660,4,3197,99.72853,99.73026
2014-01-01 11:26:29.719,99.73684,168,3,314,99.73642,99.7345
2014-01-01 11:31:29.719,99.66869,1224,2,1940,99.67208,99.66951
2014-01-01 11:36:29.719,99.63141,65,3,7328,99.63344,99.63191
2014-01-01 11:41:29.719,99.60858,1514,4,1929,99.60982,99.61235
2014-01-01 11:46:29.719,99.54907,749,3,5510,99.5521,99.55036
2014-01-01 11:51:29.719,99.6073,1714,2,5705,99.60454,99.60463
2014-01-01 11:56:29.719,99.71041,1516,2,1694,99.70512,99.69453
2014-01-01 12:01:29.719,99.63714,513,2,5942,99.64054,99.63809
2014-01-01 12:06:29.719,99.77787,1652,4,4491,99.771,99.76906
2014-01-01 12:11:29.719,99.66502,1699,3,1699,99.67032,99.67788
2014-01-01 12:16:29.719,99.68078,413,1,413,99.68026,99.68023
2014-01-01 12:21:29.719,99.69363,1296,1,1296,99.69296,99.69337
2014-01-01 12:26:29.719,99.69573,753,1,6653,99.69559,99.6957
2014-01-01 12:31:29.719,99.78271,1545,5,7332,99.77835,99.7789
2014-01-01 12:36:29.719,99.72016,329,4,2138,99.72307,99.72909
2014-01-01 12:41:29.719,99.73589,896,3,0,99.73525,99.72909
2014-01-01 12:46:29.719,99.73589,896,0,1465,99.73586,99.73587
2014-01-01 12:51:29.719,99.70168,1516,2,3881,99.70339,99.70232
2014-01-01 12:56:29.719,99.68418,1104,4,2767,99.68514,99.68539
2014-01-01 13:01:29.719,99.77508,271,2,2667,99.77058,99.77036
2014-01-01 13:06:29.719,99.83043,1923,4,3199,99.82743,99.82789
2014-01-01 13:11:29.719,99.82506,2233,4,8326,99.82518,99.82511
2014-01-01 13:16:29.719,99.82238,24,6,4779,99.82252,99.8226
2014-01-01 13:21:29.719,99.78874,786,4,0,99.79043,99.8226
2014-01-01 13:26:29.719,99.78874,786,0,3780,99.78882,99.78885
2014-01-01 13:31:29.719,99.86939,640,2,3043,99.86536,99.86467
2014-01-01 13:36:29.719,99.81555,117,3,246,99.81804,99.83502
2014-01-01 13:41:29.719,99.84083,253,2,697,99.83969,99.84067
2014-01-01 13:46:29.719,99.81873,239,3,1145,99.81978,99.8194
2014-01-01 13:51:29.719,99.89247,232,2,715,99.88884,99.8869
2014-01-01 13:56:29.719,100.0034,550,3,3072,99.99766,100.0019
2014-01-01 14:01:29.719,100.0757,682,3,3220,100.0718,100.0723
2014-01-01 14:06:29.719,100.0354,1300,4,8629,100.0372,100.0361
2014-01-01 14:11:29.719,99.93843,793,6,4419,99.94337,99.94728
2014-01-01 14:16:29.719,99.91551,1115,3,1115,99.9169,99.92119
2014-01-01 14:21:29.719,99.76161,2368,1,3938,99.76937,99.76431
2014-01-01 14:26:29.719,99.75638,1909,3,5080,99.75703,99.75668
2014-01-01 14:31:29.719,99.73679,958,3,8096,99.7378,99.73742
2014-01-01 14:36:29.719,99.75498,1313,6,1332,99.75412,99.75079
2014-01-01 14:41:29.719,99.74555,1302,2,2016,99.74598,99.74577
2014-01-01 14:46:29.719,99.83508,1431,2,1929,99.83062,99.83046
2014-01-01 14:51:29.719,99.94279,1420,4,2048,99.93718,99.93748
2014-01-01 14:56:29.719,99.86396,945,3,945,99.86762,99.87147
2014-01-01 15:01:29.719,99.93354,855,1,1447,99.93025,99.93136
2014-01-01 15:06:29.719,99.94347,1467,2,4660,99.94281,99.94328
2014-01-01 15:11:29.719,99.85583,493,5,12928,99.86018,99.85741
2014-01-01 15:16:29.719,100.0667,287,7,287,100.0564,99.92097
2014-01-01 15:21:29.719,100.0261,6809,1,9814,100.0276,100.0256
2014-01-01 15:26:29.719,99.88452,861,4,2867,99.89168,99.90522
2014-01-01 15:31:29.719,99.95636,1031,5,5331,99.95313,99.9548
2014-01-01 15:36:29.719,99.81154,3571,4,10070,99.81862,99.81535
2014-01-01 15:41:29.719,99.80656,757,6,5670,99.80716,99.80729
2014-01-01 15:46:29.719,99.97158,57,5,2771,99.96336,99.95508
2014-01-01 15:51:29.719,100.1369,1723,4,4601,100.1282,100.131
2014-01-01 15:56:29.719,100.0519,772,3,4990,100.0557,100.0555
2014-01-01 16:01:29.719,100.0988,2993,4,5882,100.0967,100.097
2014-01-01 16:06:29.719,100.0458,11,4,2543,100.0483,100.0513
2014-01-01 16:11:29.719,100.2038,1559,6,1559,100.1961,100.1911
2014-01-01 16:16:29.719,100.1667,882,1,1721,100.1682,100.1679
2014-01-01 16:21:29.719,100.1627,175,3,215,100.163,100.1642
2014-01-01 16:26:29.719,100.1327,427,2,1647,100.1342,100.133
2014-01-01 16:31:29.719,100.2294,1486,3,6184,100.2246,100.2281
2014-01-01 16:36:29.719,100.2416,2369,3,3609,100.2408,100.2405
2014-01-01 16:41:29.719,100.1367,2017,3,2480,100.1419,100.1443
2014-01-01 16:46:29.719,100.1061,1988,2,2708,100.1079,100.1079
2014-01-01 16:51:29.719,100.1427,2278,2,2698,100.141,100.141
2014-01-01 16:56:29.719,100.0472,518,2,8276,100.0519,100.0488
2014-01-01 17:01:29.719,100.0021,87,8,0,100.0046,100.0488
2014-01-01 17:06:29.719,100.0021,87,0,87,100.0023,100.0112
2014-01-01 17:11:29.719,100.3365,803,1,1242,100.3198,100.3351
2014-01-01 17:16:29.719,100.3837,1185,2,5646,100.3805,100.3832
2014-01-01 17:21:29.719,100.4754,1086,3,1538,100.4706,100.461
2014-01-01 17:26:29.719,100.5229,208,2,3118,100.5203,100.5212
2014-01-01 17:31:29.719,100.5264,46,3,4799,100.5261,100.5262
2014-01-01 17:36:29.719,100.357,1092,4,5537,100.3655,100.3643
2014-01-01 17:41:29.719,100.123,126,4,6394,100.1351,100.1334
2014-01-01 17:46:29.719,100.0435,1218,6,3260,100.0481,100.0519
2014-01-01 17:51:29.719,100.0549,1629,2,1629,100.0545,100.0546
2014-01-01 17:56:29.719,100.0714,2089,1,9937,100.0706,100.0713
2014-01-01 18:01:29.719,100.0262,37,5,0,100.0284,100.0713
2014-01-01 18:06:29.719,100.0262,37,0,920,100.0263,100.0274
2014-01-01 18:11:29.719,100.004,1549,2,3287,100.0051,100.0043
2014-01-01 18:16:29.719,100.0893,1271,4,2143,100.0851,100.0832
2014-01-01 18:21:29.719,100.0632,1317,2,5171,100.0643,100.0636
2014-01-01 18:26:29.719,100.1066,154,4,7343,100.1045,100.1051
2014-01-01 18:31:29.719,100.05,595,4,8616,100.0527,100.0523
2014-01-01 18:36:29.719,100.0914,1537,6,0,100.0895,100.0523
2014-01-01 18:41:29.719,100.0914,1537,0,6579,100.0913,100.0913
2014-01-01 18:46:29.719,100.2273,749,3,0,100.2205,100.0913
2014-01-01 18:51:29.719,100.2273,749,0,1979,100.227,100.2262
2014-01-01 18:56:29.719,100.5354,3631,3,6901,100.52,100.531
2014-01-01 19:01:29.719,100.6206,304,7,4092,100.6156,100.6136
2014-01-01 19:06:29.719,100.5885,1945,3,5392,100.5899,100.5895
2014-01-01 19:11:29.719,100.7495,1424,2,6788,100.7415,100.7432
2014-01-01 19:16:29.719,100.8799,957,4,957,100.873,100.843
2014-01-01 19:21:29.719,100.9736,465,1,9808,100.9686,100.9728
2014-01-01 19:26:29.719,100.8691,385,8,3976,100.874,100.8805
2014-01-01 19:31:29.719,100.8378,428,5,1635,100.8396,100.8429
2014-01-01 19:36:29.719,100.7289,231,3,893,100.7344,100.7396
2014-01-01 19:41:29.719,100.6731,1443,2,1443,100.6762,100.6753
2014-01-01 19:46:29.719,100.7453,198,1,526,100.7418,100.7366
2014-01-01 19:51:29.719,100.5709,577,3,0,100.5795,100.7366
2014-01-01 19:56:29.719,100.5709,577,0,2022,100.5713,100.571
2014-01-01 20:01:29.719,100.6329,1335,3,5074,100.6298,100.6317
2014-01-01 20:06:29.719,100.5399,849,4,3484,100.5444,100.5462
2014-01-01 20:11:29.719,100.5191,843,5,3159,100.5204,100.5207
2014-01-01 20:16:29.719,100.6817,1100,4,6577,100.6737,100.6777
2014-01-01 20:21:29.719,100.5154,473,5,5353,100.5233,100.525
2014-01-01 20:26:29.719,100.3389,3778,6,9628,100.3481,100.3442
2014-01-01 20:31:29.719,100.32,2025,5,5103,100.3214,100.3222
2014-01-01 20:36:29.719,100.3846,1191,3,1528,100.3815,100.375
2014-01-01 20:41:29.719,100.4385,1072,2,12498,100.4357,100.4381
2014-01-01 20:46:29.719,100.4106,2415,8,6753,100.4118,100.4129
2014-01-01 20:51:29.719,100.3852,771,6,1886,100.3865,100.3897
2014-01-01 20:56:29.719,100.4238,1803,2,1803,100.4219,100.4218
2014-01-01 21:01:29.719,100.4524,642,1,3079,100.4509,100.4515
2014-01-01 21:06:29.719,100.3799,241,4,5491,100.3834,100.3819
2014-01-01 21:11:29.719,100.5557,370,4,2726,100.5471,100.5394
2014-01-01 21:16:29.719,100.5144,190,3,1411,100.516,100.5168
2014-01-01 21:21:29.719,100.7406,1817,3,6611,100.7294,100.738
